File is not valid JSON, extracting with regex...

Total AR Codes Found: 266

AR_CODE | NAME | USAGE
155180 | Guarantor Waiver Fee | Base
155181 | Pet Concession | Base
155182 | Telecom Concession | Base
155183 | Redpoint Consulting Project-Bulk Internet | Base
155184 | Redpoint Consulting Project-Bulk Cable | Base
155185 | Redpoint Consulting Project-Low Voltage Design | Base
155186 | Redpoint Consulting Project-Infrastructure | Base
155187 | Redpoint Consulting Project-Camera System | Base
155188 | Redpoint Telecommunications Products-Bandwidth | Base
155189 | Redpoint Telecommunications Products-WIFI | Base
155190 | Redpoint Desktop Support | Base
155191 | Redpoint Managed Hardware | Base
155192 | Redpoint Managed Software | Base
155193 | Redpoint Technology Transition Services | Base
155194 | Redpoint Technology Due Diligence Services | Base
155195 | Redpoint Office Phone Service | Base
155196 | Redpoint Fire/Life Safety Lines | Base
155199 | Non-Revenue Units | Base
155200 | Biennial Rental Certification Fee | Base
155201 | Code Enforcement Program | Base
155202 | Rentistry | Base
155203 | Damage Liability Waiver | Base
155204 | Scooter/Bike Parking | Add Ons
155205 | Rooftop Tenant Rent | Base
155206 | Alarm Fee | Base
155207 | RENT - HUD | Base
155213 | Section 8 Rent | Base
155214 | Washer/Dryer Fee | Amenity
155217 | RentPlus | Base
155250 | Water Credit | Base
155251 | Gas Credit | Base
155284 | 7 Month Premium | Base
155285 | 8 Month Premium | Base
155286 | 11 Month Premium | Base
155319 | Trash Service | Base
155352 | Abatement Reduction | Base
155385 | Reserved Parking | Add Ons
155832 | Cleaning Service | Base
155833 | Retail Termination Fee | Base
155866 | LMR | Base
155966 | Full Unit Premium | Base
155967 | Full Unit Discount | Base
156000 | Parking - Other | Base
156134 | First Month Rent | Base
156167 | DNU - Migration Import | Add Ons
156168 | Amenity Fee | Base
156169 | Amenity Fee - Coliving | Base
156236 | DNU - Deposit Migration Import | Base
156269 | Turn Paint Fee | Maintenance
156335 | Amenity Reservation | Add Ons
156368 | Resident Credit Reporting | Base
156401 | Rent Accrual | Base
156434 | Protection Fee | Base
156467 | Tangible Concession | Base
156468 | Tangible Concession Offset | Base
156534 | Composting Fee | Base
156669 | Damage Liability Waiver - POPIC | Base
156702 | Lease Buyout | Base
156735 | Resident Experience Credit (Non-Recurring 6010-00) | Base
156801 | Admin Fees Concession | Special
156802 | Application Fee Concession | Special
156835 | DNU - Security Deposit Concession | Base
156868 | Collection Fee | Base
156901 | Group - Summer Housing Income | Base
156934 | Group - Conference Housing | Base
156935 | Group - Short Term Housing Income | Base
156968 | Keys/Access Device | Add Ons
157001 | Guarantor Waiver Program - TheGuarantors | Base
157135 | TheGuarantors Waiver Program Accrual | Base
157201 | Furniture Package | Amenity
157267 | Guest Suite Reservation | Amenity
157300 | Community Fee | Base
157399 | Homebody Master Policy | Base
157400 | Homebody Deposit Alternative | Base
157401 | Homebody Guaranty | Base
157437 | Rent - RevMgmt | Base
157470 | Amenity Premium - RevMgmt | Amenity
157536 | Transfer Concession | Special
157602 | Re-Let Fee Concession | Base
157603 | Utility Package Concession | Base
